HISTORIQUE,fr,en
ASTRES_04_DESCRIPTION,"Vénus est le symbole de l'amour, la beauté, les relations et l'harmonie. Elle influence la manière dont nous exprimons notre affection, attirons les autres et recherchons l'équilibre dans nos relations. Elle régit également les désirs, les plaisirs des sens et l'art, ainsi que notre rapport à l'argent.","Venus is the symbol of love, beauty, relationships and harmony. It influences the way we express  affection, attract others and seek balance in our relationships. It also governs desires, pleasures of the senses and art, as well as our relationship to money."
ASTRES_05_TITRE,MARS,MARS
ASTRES_05_MOTS_CLES,"Action
Force
Désir
Archétype du Guerrier","Action
Strength
Desire
Archetype of the Warrior"
ASTRES_05_DESCRIPTION,"Mars est la planète de l'action et du désir. Elle représente notre force, notre courage, notre façon d'exprimer notre motivation et de prendre des initiatives, mais aussi notre colère et notre sexualité. Mars régit la compétition et l'affirmation de soi.","Mars is the planet of action and desire. It represents our strength, our courage, our way of expressing motivation and taking initiatives, but also anger and passion. Mars governs competition and self-assertion."
ASTRES_06_TITRE,JUPITER,JUPITER
ASTRES_06_MOTS_CLES,"Croissance
Sagesse
Chance
Archétype du Philosophe","Growth
Wisdom
Luck
Archetype of the Philosopher"
ASTRES_06_DESCRIPTION,"Jupiter symbolise l'expansion, la croissance et la sagesse. C'est la planète de l'optimisme, de la spiritualité et des grandes opportunités. On l'appelle «  la bénéfique du zodiaque  » car elle favorise l'abondance et la chance. Elle régit notre manière d'élargir nos horizons, que ce soit à travers l'éducation, les voyages ou les idéaux.","Jupiter symbolizes expansion, growth and wisdom. It is the planet of optimism, spirituality and great opportunities. It is called the “Greater Benefit” because it brings abundance and luck. It governs the way we broaden our horizons, through travels, ideals or acquiring new knowledge."
ASTRES_07_TITRE,SATURNE,SATURN
ASTRES_07_MOTS_CLES,"Sérieux
Structure
Patience
Archétype du Père","Seriousness
Structure
Patience
Archetype of the Father"
ASTRES_07_DESCRIPTION,"Planète de la discipline, de la responsabilité et de la structure, elle est aussi associée aux leçons de vie, à la patience et à la maturité. Saturne représente les défis, les restrictions et les efforts nécessaires pour atteindre des objectifs durables. Elle nous oblige à apprendre par l'expérience. ","Planet of discipline, responsibility and structure, Saturn is also associated with life lessons, patience and maturity. It represents the challenges,the limitations and the efforts required to achieve sustainable goals. It makes us learn from our experiences. "
ASTRES_08_TITRE,URANUS,URANUS
ASTRES_08_MOTS_CLES,"Changement
Libération
Indépendance
Archétype du Rebelle","Change
Liberation
Independence
Archetype of the Rebel"
ASTRES_08_DESCRIPTION,"Uranus est synonyme de révolution, d'innovation, d'indépendance et de changement soudain. C'est la planète de l'originalité (c'est la seule planète à tourner sur un axe couché), de l'imprévu, de la liberté et des idées progressistes. Elle encourage à briser les conventions, à explorer de nouvelles perspectives et à se libérer des limitations.  ","Uranus is about revolution, innovation, independence and sudden change. It's the planet of originality (it's the only planet to rotate on a horizontal axis), of the unexpected, of freedom and progressive ideas. It encourages to break conventions, to explore new perspectives and to break free from limitations.  "
ASTRES_09_TITRE,NEPTUNE,NEPTUNE
ASTRES_09_MOTS_CLES,"Mysticisme
Transcendance
Confusion
Archétype de l'Artiste","Mysticism
Transcendence
Confusion
Archetype of the Artist"
ASTRES_09_DESCRIPTION,"Neptune représente la spiritualité, l'imagination et les rêves. C'est la planète de l'intuition, de la compassion et de la transcendance. Neptune est associée à l'évasion, aux illusions et à tout ce qui échappe à la réalité matérielle, favorisant l'inspiration artistique, mystique et la connexion avec des dimensions subtiles. Cependant, elle peut aussi apporter confusion, déceptions et dépendances. ","Neptune represents spirituality, imagination and dreams. It is the planet of intuition, compassion and transcendence. Neptune is associated with escape, illusions and everything that allow to get ou of reality. It fosters the artistic and mystical inspiration and the connection to subtle dimensions. However, it can also bring confusion, disappointment and addiction. "
ASTRES_10_TITRE,PLUTON,PLUTO
ASTRES_10_MOTS_CLES,"Transformation
Inconscient
Mort/Vie
Archétype de l'Alchimiste","Transformation
Unconscious
Death/Life
Archetype of the Alchemist"
ASTRES_10_DESCRIPTION,"Pluton est l'astre de la transformation profonde, de la régénération et des processus de destruction et de renaissance. Il régit l'inconscient, les forces cachées, les crises et la résilience. Pluton est lié aux thèmes de la mort et de la renaissance, tant au niveau 
psychologique que spirituel, incitant à se confronter à ses ombres et à opérer des changements radicaux. ","Pluto is the planet of deep transformation, regeneration and processes of destruction and rebirth. It governs the unconscious, the hidden forces, and also crises and resilience. Pluto is about Death and Rebirth, both at a psychological and spiritual level, encouraging us to face our shadows and make radical changes. "
SIGNE_00_DESCRIPTION,"Les cartes Signes représentent la toile de fond, le ""décor"" du tirage. Elles complètent les cartes Karma en indiquant les énergies qui entourent la problématique. Elles prennent souvent l'aspect de traits de caractères.","The Signs cards represent the backdrop, the ""decor"" of the draw. They complete the Karma cards by indicating the energies surrounding the problem. They often take the form of character traits."
SIGNE_01_TITRE,BELIER,ARIES
SIGNE_01_MOTS_CLES,"Début
Courage
Impulsivité
Leadership 
Affirmation de soi","Beginning
Courage
Impulsiveness
Leadership 
Self-affirmation"
SIGNE_01_DESCRIPTION,"
Premier du zodiaque, le Bélier est le signe des débuts, de la nouveauté. Il nous parle d'action, de courage et d'initiative. Le Bélier est un chef passionné et impulsif. Son énergie débordante est pleine d'enthousiasme, mais il peut aussi se montrer impatient, têtu et colérique. Direct et honnête, il aime les défis, recherchant toujours l'excitation et l'aventure. En tant que signe de l'individualisme, il sait agir selon ses désirs et besoins personnels, au risque de devenir égocentrique s'il ne dose pas. ","Aries is the sign of beginnings and novelty. They're all about action, courage and initiative. They are passionate and impulsive leaders. Their energy is overflowing with enthusiasm, but they can also be impatient, stubborn and angry. Very honest, Aries like challenges, always looking for excitement and adventure. As the sign of individualism, they know how to act according to their personal desires and needs, at the risk of becoming self-centered if they don't balance
these energies."
SIGNE_02_TITRE,TAUREAU,TAURUS
SIGNE_02_MOTS_CLES,"Stabilité
Sécurité 
Matérialisme
 Valeurs
Epicurisme","Stability
Safety 
Materialism
 Values
Epicureanism"
SIGNE_02_DESCRIPTION,"Le Taureau est synonyme de stabilité et de patience. Ancré dans la réalité, il recherche la sécurité, voire l'immuabilité, ce qui le pousse à appréhender toute forme de changement. Il est persévérant jusqu'à l'entêtement pour atteindre ses objectifs. Par son attachement à la matière, il est le signe des biens, des possessions, mais aussi des valeurs qui constituent notre «  terreau moral  ». Le Taureau est un signe sensuel. Il apprécie les plaisirs simples de la vie, les plaisirs charnels.Très fidèle, il peut aussi se montrer possessif. ","Taurus is the sign of stability and patience. Grounded in reality, they seek security, even immutability which drives them to fear any form of change. They are persistent to the point of stubbornness in order to achieve their goals. Attached to the matter, Taurus is the sign of possessions, but also values that constitute our foundations. Taurus are sensual. They enjoy the simple pleasures of life, like food and sexuality. Very faithful, they can also be possessive."
SIGNE_03_TITRE,GEMEAUX,GEMINI
SIGNE_03_MOTS_CLES,"Communication
Curiosité
Dynamisme
Jeunesse
Diversité","Communication
Curiosity
Dynamism
Youth
Diversity"
SIGNE_03_DESCRIPTION,"Le Gémeaux est curieux et adaptable. Toujours en mouvement, il incarne la vivacité d'esprit et la quête de nouvelles expériences, de connaissances et de connexions sociales. Comme son maître Mercure, il est le roi de la communication sous toutes ses formes. Bavard et sociable, il aime se connecter aux autres. Il s'intéresse à de nombreux sujets et aime explorer différentes perspectives, ce qui peut parfois le rendre indécis ou dispersé. Aller jusqu'au bout d'un projet lui est difficile car il est toujours stimulé par quelque chose de nouveau. Son défi consiste à ne pas trop s'éparpiller et à ne pas rester à la surface des choses.","Geminis are curious and adaptable. Always on the move, they embody quick thinking and search for new experiences, knowledge and social connections. Geminis are kings of any kind of communication. Chatty and sociable, they're also interested in many subjects and like to explore different perspectives, which can sometimes make them undecided or scattered. They find it difficult to get through a project because they're always driven by something new. Their 
challenge is not to get too dispersed and not to remain on the surface of things."
SIGNE_04_TITRE,CANCER,CANCER
SIGNE_04_MOTS_CLES,"Sensibilité
Rêve
Intuition
Intimité
Famille","Sensitivity
Dream
Intuition
Privacy
Family"
SIGNE_04_DESCRIPTION,"Le Cancer est sensible, émotif et profondément attaché à sa famille et à son foyer. Il est connu pour son intuition et son empathie. Le Cancer a un fort besoin de sécurité, tant émotionnelle que matérielle. Il est souvent très attaché au passé, ce qui peut l'empêcher 
d'être pleinement ancré dans l'instant présent. Il a d'ailleurs tendance à vivre sa vie dans sa tête. Il imagine plus qu'il n'agit. Réservé, peu loquace, il aime prendre soin de ceux qu'il aime avec toute l'attention d'une mère pour son enfant et sait être à l'écoute.","Cancers are sensitive, emotional and deeply attached to their family and home. They're known for their intuition and empathy. They have a strong need for security, both emotional and material. They're often very attached to the past, which can prevent them from being fully anchored in the here and now. They tend to dream their life. They imagine more than they act. Not very talkative, Cancers like to take care of those they love with all the attention of a mother for her child and they know how to listen."
SIGNE_05_TITRE,LION,LEO
SIGNE_05_MOTS_CLES,"Générosité
Créativité
Fierté
Confiance en soi
Passion","Generosity
Creativity
Pride
Self-confidence
Passion"
SIGNE_05_DESCRIPTION,"Débordant de charisme et de confiance en lui, le Lion aime être au centre de l'attention. Comme son maître, le Soleil, il rayonne d'une lumière qu'il ne manque pas de diffuser aux autres, en accord avec sa nature généreuse. En revanche, il est préférable de 
ne pas essayer de lui faire de l'ombre... Ambitieux et déterminé, il cherche généralement à laisser une marque de son passage. Grâce à son énergie créative et passionnée, il peut facilement se faire un nom dans le domaine des arts. À l'excès, il peut se montrer 
égocentrique, tyrannique et imbu de sa personne.","Brimming with charisma and self-confidence, Leos love to be the center of attention. Like their master, the Sun, they radiate a light and spread it to the others, in accordance with their generous nature. However, it's better not to try to shade on them... Ambitious and determined, Leos usually try to leave a mark of their passage. Their creative and passionate energy can easily make them become famous in the arts. They can be overly self-centered, tyrannical and self-absorbed."
SIGNE_06_TITRE,VIERGE,VIRGO
SIGNE_06_MOTS_CLES,"Organisation
Pragmatisme
Service
Santé
Perfectionniste","Organization
Pragmatism
Service
Health
Perfectionist"
SIGNE_06_DESCRIPTION,"Méthodique et pragmatique, la Vierge est attentive aux moindres détails. Elle a un sens aigu du devoir et cherche la perfection dans tout ce qu'elle entreprend. Elle aime structurer son environnement, aidée en cela par son organisation infaillible. La routine sécurise ce signe qui tend à l'anxiété et à la somatisation. Son esprit analytique et critique lui donne la faculté de résoudre des problèmes, mais la rend également exigeante aussi bien avec les autres qu'avec  elle-même. Elle est cependant extrêmement tournée vers le service aux autres, quitte à oublier ses propres besoins dans l'équation.","Methodical and pragmatic, Virgos pay attention to the smallest details. They have a keen sense of duty and seek perfection in everything they undertake. They likes to structure their environment, helped by their efficient organization. Routine reassures this sign that tends to anxiety and somatisation. Their analytical and critical mind gives them the ability to solve problems, but also make them demanding with others as well as with themselves. Virgos are however extremely turned towards the service to others, even if to forget their own needs in the equation."
SIGNE_07_TITRE,BALANCE,LIBRA
SIGNE_07_MOTS_CLES,"Equilibre
Harmonie
Raffinement
Diplomatie
Lien","Balance
Harmony
Refinement
Diplomacy
Link"
SIGNE_07_DESCRIPTION,"La Balance est le signe de la conciliation et de la recherche constante de l'harmonie dans ses relations et son environnement. Dotée d'un sens aigu de la justice et de l'équité, elle constitue généralement le point d'équilibre entre les différentes forces qui l'entourent. Les conflits lui font horreur et elle tentera par tous les moyens de ménager la chèvre et le chou, quitte à se mettre dans une position inconfortable. Faire un choix tranché lui est par ailleurs difficile. Influencée par Vénus, elle est sensible à la beauté sous toutes ses formes. La Balance incarne le lien à l'autre. La communication et la coopération lui sont essentielles. ","Libra is a sign of conciliation and constant search for harmony in their relationships and environment. With a strong sense of justice and fairness, they're usually the balance point,between the different forces around them. Libras hate conflicts and will always try to spare everyone even if it puts them in an uncomfortable position. Making a hard choice is also difficult for them. Influenced by Venus, Libras are sensitive to beauty in all its forms. They represent the link to the other. Communication and cooperation are essential to them."
SIGNE_08_TITRE,SCORPION,SCORPIO
SIGNE_08_MOTS_CLES,"Transformation
Détachement
Mystère
Passion
Sexualité","Transformation
Detachment
Mystery
Passion
Sexuality"
SIGNE_08_DESCRIPTION,"Le Scorpion est le signe de la passion. Il vit et ressent les choses plus fort que les autres. Sa grande profondeur émotionnelle le pousse à explorer les aspects cachés ou complexes de la vie. Il est ainsi très doué pour décrypter les rouages d'une situation ou de la psyché humaine, mais il éprouve de la difficulté à se dévoiler. Sa détermination est sans faille, il n'abandonne jamais ce qu'il entreprend. Par son lien avec Pluton, dieu des Morts, le Scorpion a un sens inné de la transformation et du renouveau. Il sait parfaitement se détacher, quitte à s'auto-saboter en mettant fin de lui-même à quelque chose plutôt que de prendre le risque de subir la perte.","Scorpio is the sign of passion. They live and feel things more strongly than others. Their great emotional depth leads them to explore the hidden or complex aspects of life. Scorpios are very good at deciphering the workings of a situation or human psyche, but they have difficulty in revealing themselves. Their determination is unwavering, they never give up what they undertake. Because they're related to Pluto, they have an innate sense of transformation and renewal. Scorpios know how to let go, even if they have to self-sabotage by ending something rather than taking the risk of suffering the loss."
SIGNE_09_TITRE,SAGITTAIRE,SAGITTARIUS
SIGNE_09_MOTS_CLES,"Expansion
Optimisme
Indépendance
Aventure
Philosophie","Expansion
Optimism
Independence
Adventure
Philosophy"
SIGNE_09_DESCRIPTION,"Le Sagittaire est optimiste, aventureux et épris de liberté. Il est toujours en quête de nouvelles expériences, de connaissances et de vérité. Le monde est son terrain de jeu et il ne faut pas songer à l'empêcher de l'explorer. Son esprit est expansif, il aime les 
philosophies et tout ce qui élargit son horizon, mais il peut aussi se montrer intransigeant et sectaire. Doté d'un grand sens de l'humour, il est franc, sociable et ressent le besoin de transmettre ce qu'il apprend au cours de ses voyages, qu'ils soient physiques ou spirituels. Son défi consiste à ne pas tomber dans les excès.","Sagittarius are optimistic, adventurous and freedom-loving. The're always in search of new experiences, knowledge and truth. The world is their playground and there's no way to prevent them from exploring it. Sagittarius' mind is expansive, they like philosophies and anything that broadens their horizon, but they can also be uncompromising and sectarian. 
With a great sense of humour, they're frank and sociable and feel the need to pass on what they learn during their journeys, whether physical or spiritual. Their challenge is not to fall into excesses."
SIGNE_10_TITRE,CAPRICORNE,CAPRICORN
SIGNE_10_MOTS_CLES,"Rigueur
Persévérance
Patience
Ambition
Long terme","Rigour
Perseverance
Patience
Ambition
Long term"
SIGNE_10_DESCRIPTION,"Le Capricorne est ambitieux, discipliné et très persévérant. Quand il a un objectif, il mobilise toute son énergie pour l'atteindre, peu importe le temps que ça prend. Il est souvent perçu comme trop sérieux, alors qu'il est doté d'un humour plutôt tranchant. Son sens du devoir n'est, en revanche, pas une légende. Il valorise la stabilité et la sécurité, tant dans sa vie professionnelle que personnelle. Pudique, il éprouve de la difficulté à exprimer ses émotions, ce qui peut le rendre froid et insensible, surtout dans les périodes au cours desquelles il s'isole.","Capricorns are ambitious, disciplined and very persevering. When they have a goal, they put all their energy into reaching it, no matter how long it takes. Capricorns are often perceived as being too serious, while they have a rather sharp sense of humour. Their sense of duty is not, however, a legend. They value stability and security, both in their professional and personal life. Modest, they find it difficult to express their emotions, which can make them cold and 
insensitive, especially in their isolation periods."
SIGNE_11_TITRE,VERSEAU,AQUARIUS
SIGNE_11_MOTS_CLES,"Altruisme
Innovation
Liberté
Rébellion
Excentricité","Altruism
Innovation
Freedom
Rebellion
Eccentricity"
SIGNE_11_DESCRIPTION,"Signe de l'innovation, le Verseau est un visionnaire. Il pense vite et bien plus loin que les autres. Grand défenseur des causes sociales, c'est un altruiste et un humaniste, prêt à utiliser son génie pour faire avancer le collectif dans la bonne direction, tout en sachant conserver son individualité. Son lien avec Uranus en fait d'ailleurs un révolutionnaire-né, attiré par les utopies et tout ce qui n'a pas encore été tenté. Il est de ce fait très connecté aux nouvelles technologies et aux découvertes scientifiques. Attaché à la liberté, il aime se démarquer, quitte à verser dans la marginalité et la provocation.","Sign of innovation, Aquarius are visionaries. They think fast and far beyond others. Great advocates of social causes, they're altruists and humanists, ready to use their genius to move the collective in the right direction, while maintaining their individuality. Their connection with Uranus makes them born revolutionaries, attracted by utopias and everything that has not yet been tried. Therefore, Aquarius are very connected to new technologies and scientific discoveries. Attached to freedom, they like to stand out, to the point of becoming marginalized and troublemakers."
SIGNE_12_TITRE,POISSONS,PISCES
SIGNE_12_MOTS_CLES,"Hypersensibilité
Réceptivité
Communication intuitive
Transcendance du Moi
Inspiration","Hypersensitivity
Receptivity
Intuitive communication
Transcendence of the Self
Inspiration"
